,Name,Infected score,Noninfected score,Out score
0,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - Overview 1Preview 2_19.tiff,0.7707133,0.20962198,0.019664736
1,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - Overview 2Preview 2_69.tiff,0.97247,0.024888571,0.002641377
2,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_36.tiff,0.999663,4.681087e-05,0.00029019683
3,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_37.tiff,0.9726352,0.025333341,0.0020314758
4,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_38.tiff,0.99786407,0.0013000923,0.0008359356
5,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_39.tiff,0.94936025,0.045059443,0.0055803354
6,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_40.tiff,0.9989035,0.0003820696,0.0007143768
7,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_41.tiff,0.9576533,0.041089725,0.0012570174
8,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_42.tiff,0.9996345,0.00010611867,0.0002592518
9,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_43.tiff,0.9784887,0.021012573,0.00049873936
10,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_44.tiff,0.9897537,0.008296069,0.0019501769
11,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_45.tiff,0.999788,1.567506e-05,0.00019627986
12,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_46.tiff,0.99929845,0.00014892426,0.00055256934
13,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_47.tiff,0.9942516,0.004040521,0.001707889
14,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_48.tiff,0.9999027,8.667059e-06,8.857531e-05
15,data\Images\24 hpi_24 hpi08.04.2021 NLFK nucleolin r488 A3B10 m546 DAPI CPV 24 hpi .lif - TileScan 2_50.tiff,0.99769527,0.0015293215,0.00077537104
